  Average Equal Weighted Returns -- Monthly,Cnsmr,Manuf,HiTec,Hlth ,Other
1926-07,1.68,1.42,2.01,2.45,0.21
1926-08,2.73,2.27,2.27,6.11,4.53
1926-09,-0.89,-0.33,0.72,0.8,-0.53
1926-10,-4.25,-2.92,-4.7,0.13,-2.51
1926-11,3.46,2.09,1.36,7.2,0.85
1926-12,1.96,3.6,1.49,0.42,1.23
1927-01,-1.85,1.37,0.38,6.13,5.16
1927-02,4.43,5.69,8.03,2.47,7.81
1927-03,-2.18,-2.84,-0.94,-0.2,0.04
1927-04,1.13,0.21,1.78,5.8,1.44
1927-05,5.24,6.86,2.86,4.79,8.42
1927-06,-2.45,-2.71,0.8,3.64,-1.25
1927-07,6.3,5.92,6.8,8.59,4.56
1927-08,1.75,0.62,-1,0.15,-1.69
1927-09,2.27,2.99,4.48,6,3.98
1927-10,-2.65,-4.6,-3.52,5.15,-4.51
1927-11,8.65,12.26,12.42,5.05,7.67
1927-12,3.81,3.37,1.53,-1.42,1.98
1928-01,2.72,4.08,1.01,1.45,3.13
1928-02,-2.16,-2.39,-0.02,-1.89,-3
1928-03,7.81,6.24,11.24,8.96,6.14
1928-04,4.34,13.32,4.31,3.36,7.31
1928-05,4.76,1.5,10.86,7.21,4.69
1928-06,-7.78,-6.84,-5.04,-1.46,-5.59
1928-07,0.95,0.45,0.13,-0.81,-1.02
1928-08,6.78,5.68,4.94,9.38,4.38
1928-09,4.1,7.25,2.75,-0.06,2.85
1928-10,2.9,1.12,2.8,0.25,0
1928-11,9.73,13.94,13.24,3.51,10.7
1928-12,-0.14,-0.32,2.64,-0.48,-1.11
1929-01,1.31,3.87,7.45,4.61,5.55
1929-02,-1.11,1.66,4.32,-0.07,1.29
1929-03,-6.06,-0.76,6.27,-0.5,-4.28
1929-04,1.07,1.44,3.37,2.42,1.57
1929-05,-9.52,-10.24,-4.89,-6.92,-6.3
1929-06,5.8,10.69,12.11,4.73,5.28
1929-07,0.41,2.38,7.16,3.11,2.75
1929-08,0.56,3.93,6.6,-0.54,3.6
1929-09,-4.8,-4.11,-2.47,-5.78,-4.46
1929-10,-21.13,-21.43,-24.17,-17.09,-15.34
1929-11,-13.47,-11.92,-18.57,-4.68,-11.01
1929-12,-4.67,-2.91,3.87,4.01,-0.68
1930-01,10.92,11.22,8.69,2.39,10.35
1930-02,2.66,3.05,6.99,5.5,4.39
1930-03,8.13,14.1,10.13,7.68,7.18
1930-04,-4.4,-5.18,-0.72,-3.32,-5.5
1930-05,-3.54,-4.19,-6.21,-1.81,-3.33
1930-06,-18.44,-18.67,-22.4,-14.01,-16.4
1930-07,3.26,4.14,6.34,8.97,3.12
1930-08,-1.36,-2.73,0.51,1.14,-1.71
1930-09,-13.65,-16.09,-19.51,-5.74,-15.2
1930-10,-8.61,-10.96,-13.83,-5.24,-9.32
1930-11,0.29,-3.6,-0.89,-2.67,-4.38
1930-12,-12.94,-14.8,-11.51,-9.73,-14.16
1931-01,13.57,12.31,13.73,7.99,18.36
1931-02,16.52,16.39,21.36,16.19,11.36
1931-03,-1.75,-8.6,-9.94,0.65,-8.92
1931-04,-14.31,-16.95,-15.16,-11.43,-13.97
1931-05,-11.2,-16.17,-11.48,-15.91,-15.92
1931-06,13.64,20.54,15.64,12.23,22.27
1931-07,-3.56,-8.5,-8.72,-3.3,-9.05
1931-08,-1.89,-0.55,-2.02,-1.1,-4.37
1931-09,-29.35,-32.18,-34.96,-31.75,-28.12
1931-10,10.21,11.73,12.18,13.21,4.81
1931-11,-6.57,-8.7,-10.7,-9.05,-13.74
1931-12,-16.21,-18.54,-18.36,-11.51,-21.63
1932-01,6.73,6.29,5.68,0.98,15.14
1932-02,2.28,2.27,3.77,-1.71,1.56
1932-03,-11.89,-10.51,-13.92,-8.89,-15.37
1932-04,-16.06,-18,-23,-13.65,-18.72
1932-05,-19.37,-18.94,-19.47,-26.3,-24.64
1932-06,5.36,4.26,4.47,5.88,1.34
1932-07,32.95,46.22,43.87,30.86,56.12
1932-08,65,64.55,51.53,40.14,77.27
1932-09,-2.97,-6.66,-6.48,-2.82,-7.73
1932-10,-16.03,-16.07,-17.8,-17.01,-18.1
1932-11,-7.22,-4.66,-7.7,-3.77,-10.25
1932-12,-4.16,-3.28,-2.08,-0.92,-4.19
1933-01,2.49,2.45,4.98,-1.45,7.7
1933-02,-14.67,-16,-15.98,-11.27,-16.37
1933-03,13.09,11.93,8.29,5.31,3.14
1933-04,54.05,53.88,51.9,23.01,41.66
1933-05,59.64,60.12,46.22,34.64,65.74
1933-06,25.49,20.64,15.64,9,22.65
1933-07,-11.08,-11.71,-5.7,-18.42,-2.23
1933-08,11.28,12.63,14.4,3.55,7.59
1933-09,-14.97,-14.06,-14,-7.25,-17.91
1933-10,-10.2,-10.51,-12.37,-4.94,-11.62
1933-11,6.54,8.03,9.13,6.49,3.22
1933-12,2.28,1.06,8.97,-10.96,1.28
1934-01,32.68,29.88,32.47,28.57,35.82
1934-02,2.94,0.82,-4.72,-3.92,0.96
1934-03,1.91,-0.48,2.62,-1.9,0.41
1934-04,-0.26,0.07,-2.14,1.24,0.07
1934-05,-10.99,-11.9,-8.48,-9.77,-9.28
1934-06,-0.4,1.46,3.89,1.4,-2.56
1934-07,-16.5,-18.92,-16.12,-12.43,-22.06
1934-08,8.32,10.51,8.62,2.43,10.46
1934-09,0.57,-2.29,-0.79,-1.42,-1.35
1934-10,0.45,-2.96,-0.72,1.82,-4.7
1934-11,14.29,15.66,14.2,4.84,6.31
1934-12,1.67,2.27,0.16,0.1,-0.45
1935-01,-3.57,-2.11,-4.65,-1.53,-4.35
1935-02,-4.32,-5.36,-1.58,-1.05,-9.3
1935-03,-8.23,-6.23,-6.16,-4.7,-8.31
1935-04,7.62,11.15,12.34,3.3,10.32
1935-05,1.3,3.24,2.09,-1.33,2.85
1935-06,3.98,3.96,10.94,4.04,3.43
1935-07,9.98,12.21,14.09,10.04,9.88
1935-08,7.44,7.22,3.39,0.58,13.92
1935-09,4.27,2.08,4.38,5.85,-0.88
1935-10,8.62,10.16,16.62,10.08,2.83
1935-11,10.38,11.65,9.69,1.43,29.75
1935-12,2.35,9.55,8.49,8.48,3.64
1936-01,11.13,14.83,9.43,13.98,23.07
1936-02,3.36,5,3.67,1.26,4.83
1936-03,2.2,1.11,-0.31,3.47,-1.56
1936-04,-11.91,-12.76,-10.17,-14.09,-12.51
1936-05,4.59,5.05,6.2,6.25,6.59
1936-06,1.28,-0.86,0.58,0.78,-0.66
1936-07,7.43,8.74,8.95,5.92,7.33
1936-08,2.07,2.49,0.42,-1.07,2.19
1936-09,3.9,3.47,4.88,1.06,2.18
1936-10,6.48,7.17,4.87,3.54,6.38
1936-11,10.35,9.51,6.44,5.46,8.18
1936-12,-2.35,7.14,-0.99,-2.45,3.43
1937-01,6.3,9.75,4.22,8.96,6.78
1937-02,2.26,1.61,0.63,-3.49,6.62
1937-03,-1.99,1.74,-4.46,-3.36,1.43
1937-04,-9.88,-9.92,-9.05,-5.41,-11.48
1937-05,-3.1,-1.11,0.73,0.28,-4.37
1937-06,-6.93,-6.35,-5.3,-6.9,-12.25
1937-07,9.4,10.5,8.78,6.2,10.32
1937-08,-4.75,-5.7,-2.08,-4.45,-6.77
1937-09,-18.43,-20.65,-19.3,-12.57,-19.13
1937-10,-9.66,-10.91,-11.65,-4.84,-9.36
1937-11,-12.75,-10.3,-10.97,-9.71,-9.45
1937-12,-11.45,-8.58,-6.04,-6.68,-12.88
1938-01,7.19,2.05,2.82,4.12,3.98
1938-02,4.34,8.1,9.04,5.23,4.34
1938-03,-26.61,-29.3,-29.08,-16.34,-30.81
1938-04,18.58,21.08,21.73,13.63,21.28
1938-05,-6.71,-7.99,-5.92,-2.38,-6.13
1938-06,29.09,35.08,32.24,15.38,27.47
1938-07,14.63,10.09,12.53,6.46,13
1938-08,-5.31,-6.11,-4.04,-2.78,-9.34
1938-09,-1.74,-0.78,-1.1,-1.88,-2.82
1938-10,13.2,15.51,12.62,9.67,14.4
1938-11,-3.33,-2.65,-4.16,1.51,-7.44
